instance Boomer-SAT-W2 XGBoost-MaxSAT
instance915 0.001 0.029
instance916 0.001 0.051
instance917 0.001 0.045
instance918 0.001 0.038
instance919 0.001 0.03
instance920 0.001 0.05
instance921 0.001 0.03
instance922 0.001 0.046
instance923 0.001 0.044
instance924 0.001 0.054
instance925 0.001 0.054
instance926 0.001 0.037
instance927 0.001 0.03
instance928 0.001 0.036
instance929 0.001 0.035
instance930 0.001 0.035
instance931 0.001 0.032
instance932 0.001 0.046
instance933 0.001 0.036
instance934 0.001 0.049
instance935 0.001 0.058
instance936 0.001 0.056
instance937 0.001 0.037
instance938 0.001 0.031
instance939 0.001 0.052
instance940 0.001 0.048
instance941 0.001 0.038
instance942 0.001 0.05
instance943 0.001 0.064
instance944 0.001 0.04
instance945 0.001 0.052
instance946 0.001 0.043
instance947 0.001 0.052
instance948 0.001 0.038
instance949 0.001 0.041
instance950 0.001 0.035
instance951 0.001 0.044
instance952 0.001 0.038
instance953 0.001 0.043
instance954 0.002 0.035
instance955 0.001 0.061
instance956 0.001 0.033
instance957 0.001 0.057
instance958 0.001 0.038
instance959 0.001 0.044
instance960 0.001 0.039
instance961 0.001 0.058
instance962 0.001 0.059
instance963 0.001 0.056
instance964 0.001 0.045
instance965 0.001 0.057
instance966 0.001 0.034
instance967 0.001 0.045
instance968 0.001 0.047
instance969 0.001 0.047
instance970 0.001 0.047
instance971 0.001 0.049
instance972 0.001 0.049
instance973 0.001 0.052
instance974 0.001 0.044
instance975 0.001 0.041
instance976 0.001 0.043
instance977 0.001 0.046
instance978 0.001 0.04
instance979 0.001 0.058
instance980 0.001 0.05
instance981 0.001 0.05
instance982 0.001 0.042
instance983 0.001 0.046
instance984 0.001 0.044
instance985 0.002 0.05
instance986 0.002 0.053
instance987 0.002 0.043
instance988 0.001 0.038
instance989 0.001 0.046
instance990 0.001 0.051
instance991 0.001 0.044
instance992 0.001 0.038
instance993 0.001 0.036
instance994 0.001 0.046
instance995 0.001 0.045
instance996 0.001 0.047
instance997 0.001 0.036
instance998 0.001 0.046
instance999 0.001 0.031
instance1000 0.001 0.037
instance1001 0.001 0.068
instance1002 0.001 0.053
instance1003 0.001 0.043
instance1004 0.001 0.026
instance1005 0.001 0.04
instance1006 0.002 0.049
instance1007 0.001 0.058
instance1008 0.001 0.062
instance1009 0.001 0.042
instance1010 0.001 0.029
instance1011 0.001 0.05
instance1012 0.001 0.047
instance1013 0.001 0.036
instance1014 0.001 0.046
instance1015 0.001 0.037
instance1016 0.001 0.03
instance1017 0.001 0.032
instance1018 0.001 0.041
instance1019 0.001 0.037
instance1020 0.001 0.041
instance1021 0.001 0.031
instance1022 0.001 0.044
instance1023 0.001 0.052
instance1024 0.001 0.049
instance1025 0.001 0.018
instance1026 0.001 0.014
instance1027 0.001 0.043
instance1028 0.001 0.008
instance1029 0.001 0.046
instance1030 0.001 0.008
instance1031 0.001 0.043
instance1032 0.001 0.029
instance1033 0.001 0.047
instance1034 0.001 0.027
instance1035 0.001 0.054
instance1036 0.001 0.048
instance1037 0.001 0.035
instance1038 0.001 0.009
instance1039 0.001 0.045
instance1040 0.001 0.012
instance1041 0.001 0.009
instance1042 0.001 0.008
instance1043 0.001 0.066
instance1044 0.001 0.05
instance1045 0.001 0.008
instance1046 0.001 0.008
instance1047 0.001 0.031
instance1048 0.001 0.034
instance1049 0.001 0.058
instance1050 0.001 0.061
instance1051 0.001 0.009
instance1052 0.001 0.052
instance1053 0.001 0.061
instance1054 0.001 0.065
instance1055 0.001 0.007
instance1056 0.001 0.009
instance1057 0.001 0.057
instance1058 0.001 0.035
instance1059 0.001 0.056
instance1060 0.001 0.039
instance1061 0.001 0.051
instance1062 0.001 0.071
instance1063 0.001 0.068
instance1064 0.001 0.01
instance1065 0.001 0.047
instance1066 0.001 0.034
instance1067 0.001 0.065
instance1068 0.001 0.009
instance1069 0.001 0.049
instance1070 0.001 0.069
instance1071 0.001 0.066
instance1072 0.001 0.054
instance1073 0.001 0.023
instance1074 0.001 0.049
instance1075 0.001 0.046
instance1076 0.001 0.009
instance1077 0.001 0.008
instance1078 0.001 0.051
instance1079 0.001 0.054
instance1080 0.001 0.033
instance1081 0.001 0.03
instance1082 0.001 0.034
instance1083 0.001 0.052
instance1084 0.001 0.036
instance1085 0.001 0.062
instance1086 0.001 0.045
instance1087 0.001 0.05
instance1088 0.001 0.051
instance1089 0.001 0.05
instance1090 0.001 0.034
instance1091 0.001 0.055
instance1092 0.001 0.041
instance1093 0.001 0.057
instance1094 0.001 0.043
instance1095 0.001 0.045
instance1096 0.001 0.04
instance1097 0.001 0.058
