instance Boomer-SAT-W2 Boomer-MaxSAT
instance623 0.001 0.002
instance624 0.001 0.004
instance625 0.001 0.002
instance626 0.001 0.001
instance627 0.001 0.002
instance628 0.001 0.001
instance629 0.001 0.001
instance630 0.001 0.001
instance631 0.001 0.002
instance632 0.001 0.004
instance633 0.001 0.004
instance634 0.001 0.002
instance635 0.001 0.001
instance636 0.001 0.002
instance637 0.001 0.002
instance638 0.001 0.003
instance639 0.001 0.002
instance640 0.001 0.002
instance641 0.001 0.002
instance642 0.001 0.002
instance643 0.001 0.002
instance644 0.001 0.003
instance645 0.001 0.002
instance646 0.001 0.001
instance647 0.001 0.001
instance648 0.001 0.002
instance649 0.001 0.001
instance650 0.001 0.004
instance651 0.001 0.004
instance652 0.001 0.001
instance653 0.001 0.001
instance654 0.001 0.004
instance655 0.09 0.075
instance656 0.08 0.075
instance657 0.041 0.081
instance658 0.066 0.077
instance659 0.052 0.08
instance660 0.038 0.046
instance661 0.062 0.083
instance662 0.061 0.071
instance663 0.045 0.069
instance664 0.05 0.081
instance665 0.046 0.047
instance666 0.049 0.077
instance667 0.067 0.077
instance668 0.053 0.083
instance669 0.04 0.058
instance670 0.077 0.081
instance671 0.06 0.075
instance672 0.055 0.09
instance673 0.063 0.064
instance674 0.041 0.068
instance675 0.058 0.074
instance676 0.062 0.075
instance677 0.045 0.072
instance678 0.04 0.085
instance679 0.056 0.083
instance680 0.021 0.078
instance681 0.068 0.089
instance682 0.052 0.074
instance683 0.098 0.08
instance684 0.057 0.085
instance685 0.039 0.058
instance686 0.075 0.069
instance687 0.035 0.071
instance688 0.082 0.084
instance689 0.048 0.079
instance690 0.058 0.066
instance691 0.072 0.062
instance692 0.04 0.086
instance693 0.064 0.091
instance694 0.051 0.08
instance695 0.053 0.074
instance696 0.059 0.068
instance697 0.05 0.073
instance698 0.067 0.092
instance699 0.074 0.062
instance700 0.067 0.068
instance701 0.064 0.094
instance702 0.078 0.087
instance703 0.041 0.064
instance704 0.074 0.07
instance705 0.046 0.076
instance706 0.067 0.081
instance707 0.057 0.08
instance708 0.061 0.077
instance709 0.066 0.075
instance710 0.063 0.071
instance711 0.038 0.081
instance712 0.037 0.055
instance713 0.032 0.063
instance714 0.067 0.086
instance715 0.049 0.097
instance716 0.04 0.078
instance717 0.062 0.063
instance718 0.035 0.076
instance719 0.035 0.081
instance720 0.03 0.067
instance721 0.055 0.062
instance722 0.027 0.055
instance723 0.04 0.052
instance724 0.051 0.075
instance725 0.054 0.084
instance726 0.033 0.059
instance727 0.049 0.082
instance728 0.053 0.078
instance729 0.073 0.06
instance730 0.056 0.095
instance731 0.057 0.073
instance732 0.034 0.083
instance733 0.069 0.081
instance734 0.046 0.08
instance735 0.035 0.092
instance736 0.068 0.072
instance737 0.072 0.069
instance738 0.053 0.107
instance739 0.054 0.078
instance740 0.038 0.067
instance741 0.063 0.088
instance742 0.065 0.064
instance743 0.065 0.073
instance744 0.075 0.088
instance745 0.026 0.071
instance746 0.05 0.087
instance747 0.063 0.067
instance748 0.044 0.053
instance749 0.079 0.067
instance750 0.077 0.078
instance751 0.045 0.093
instance752 0.078 0.07
instance753 0.045 0.077
instance754 0.056 0.09
instance755 0.075 0.081
instance756 0.039 0.09
instance757 0.04 0.062
instance758 0.035 0.103
instance759 0.048 0.085
instance760 0.046 0.063
instance761 0.079 0.093
instance762 0.025 0.076
instance763 0.047 0.075
instance764 0.017 0.072
instance765 0.038 0.097
instance766 0.072 0.084
instance767 0.079 0.072
instance768 0.046 0.059
instance769 0.08 0.09
instance770 0.073 0.084
instance771 0.058 0.081
instance772 0.068 0.074
instance773 0.065 0.068
instance774 0.056 0.085
instance775 0.027 0.057
instance776 0.071 0.079
instance777 0.073 0.077
instance778 0.053 0.104
instance779 0.033 0.091
instance780 0.045 0.074
instance781 0.031 0.077
instance782 0.045 0.063
instance783 0.062 0.083
instance784 0.053 0.083
instance785 0.052 0.087
instance786 0.051 0.086
instance787 0.074 0.08
instance788 0.069 0.081
instance789 0.051 0.081
instance790 0.051 0.062
instance791 0.044 0.093
instance792 0.072 0.079
instance793 0.055 0.075
instance794 0.085 0.065
instance795 0.06 0.076
instance796 0.062 0.085
instance797 0.039 0.068
instance798 0.055 0.091
instance799 0.088 0.087
instance800 0.045 0.052
instance801 0.07 0.079
instance802 0.046 0.065
instance803 0.07 0.091
instance804 0.042 0.057
instance805 0.043 0.07
instance806 0.044 0.078
instance807 0.039 0.066
instance808 0.061 0.058
instance809 0.039 0.069
instance810 0.078 0.076
instance811 0.059 0.066
instance812 0.076 0.083
instance813 0.031 0.061
instance814 0.078 0.089
instance815 0.071 0.059
instance816 0.035 0.046
instance817 0.058 0.085
instance818 0.048 0.06
instance819 0.035 0.085
instance820 0.053 0.07
instance821 0.037 0.088
instance822 0.059 0.067
instance823 0.037 0.076
instance824 0.065 0.073
instance825 0.055 0.097
instance826 0.064 0.099
instance827 0.042 0.071
instance828 0.037 0.075
instance829 0.052 0.069
instance830 0.069 0.08
instance831 0.055 0.095
instance832 0.055 0.073
instance833 0.046 0.087
instance834 0.064 0.069
instance835 0.052 0.08
instance836 0.054 0.088
instance837 0.059 0.098
instance838 0.083 0.069
instance839 0.055 0.073
instance840 0.033 0.048
instance841 0.046 0.074
instance842 0.049 0.054
instance843 0.047 0.085
instance844 0.063 0.087
instance845 0.067 0.074
instance846 0.047 0.043
instance847 0.045 0.09
instance848 0.057 0.069
instance849 0.051 0.071
instance850 0.045 0.081
instance851 0.069 0.063
instance852 0.033 0.084
instance853 0.041 0.071
instance854 0.066 0.076
instance855 0.001 0.006
instance856 0.001 0.002
instance857 0.001 0.004
instance858 0.001 0.005
instance859 0.001 0.008
instance860 0.001 0.005
instance861 0.001 0.003
instance862 0.002 0.006
instance863 0.001 0.005
instance864 0.001 0.003
instance865 0.001 0.005
instance866 0.001 0.003
instance867 0.001 0.003
instance868 0.001 0.002
instance869 0.001 0.003
instance870 0.001 0.002
instance871 0.001 0.005
instance872 0.001 0.003
instance873 0.001 0.003
instance874 0.001 0.005
instance875 0.001 0.003
instance876 0.001 0.005
instance877 0.001 0.006
instance878 0.001 0.006
instance879 0.001 0.003
instance880 0.001 0.002
instance881 0.001 0.004
instance882 0.001 0.003
instance883 0.001 0.004
instance884 0.001 0.006
instance885 0.001 0.003
instance886 0.001 0.003
instance887 0.001 0.003
instance888 0.001 0.002
instance889 0.001 0.006
instance890 0.001 0.004
instance891 0.001 0.004
instance892 0.001 0.003
instance893 0.001 0.002
instance894 0.001 0.004
instance895 0.001 0.003
instance896 0.002 0.004
instance897 0.001 0.003
instance898 0.001 0.003
instance899 0.001 0.002
instance900 0.001 0.005
instance901 0.001 0.004
instance902 0.001 0.006
instance903 0.001 0.005
instance904 0.001 0.002
instance905 0.001 0.006
instance906 0.001 0.004
instance907 0.001 0.004
instance908 0.001 0.004
instance909 0.001 0.003
instance910 0.001 0.002
instance911 0.001 0.003
instance912 0.001 0.002
instance913 0.001 0.003
instance914 0.001 0.005
instance915 0.001 0.003
instance916 0.001 0.003
instance917 0.001 0.005
instance918 0.001 0.004
instance919 0.001 0.004
instance920 0.001 0.003
instance921 0.001 0.003
instance922 0.001 0.003
instance923 0.001 0.004
instance924 0.001 0.003
instance925 0.001 0.003
instance926 0.001 0.002
instance927 0.001 0.003
instance928 0.001 0.004
instance929 0.001 0.002
instance930 0.001 0.006
instance931 0.001 0.003
instance932 0.001 0.003
instance933 0.001 0.006
instance934 0.001 0.003
instance935 0.001 0.004
instance936 0.001 0.004
instance937 0.001 0.004
instance938 0.001 0.002
instance939 0.001 0.003
instance940 0.001 0.002
instance941 0.001 0.005
instance942 0.001 0.004
instance943 0.001 0.003
instance944 0.001 0.003
instance945 0.001 0.007
instance946 0.001 0.006
instance947 0.001 0.003
instance948 0.001 0.004
instance949 0.001 0.007
instance950 0.001 0.005
instance951 0.001 0.004
instance952 0.001 0.003
instance953 0.001 0.007
instance954 0.002 0.003
instance955 0.001 0.002
instance956 0.001 0.003
instance957 0.001 0.003
instance958 0.001 0.003
instance959 0.001 0.006
instance960 0.001 0.004
instance961 0.001 0.007
instance962 0.001 0.003
instance963 0.001 0.004
instance964 0.001 0.005
instance965 0.001 0.004
instance966 0.001 0.005
instance967 0.001 0.003
instance968 0.001 0.004
instance969 0.001 0.003
instance970 0.001 0.006
instance971 0.001 0.003
instance972 0.001 0.003
instance973 0.001 0.003
instance974 0.001 0.003
instance975 0.001 0.005
instance976 0.001 0.004
instance977 0.001 0.003
instance978 0.001 0.003
instance979 0.001 0.005
instance980 0.001 0.005
